0,40,50,0,0.0,0,3390,0,0,0,0,0,0,0,0,0,0
1,18,65,90,0.0,2250,3390,2,4,5,2,3,2,6,2,0,0
2,16,71,90,0.0,141,1703,12,1,7,1,0,0,0,0,0,0
3,11,76,90,0.0,2498,2778,6,1,0,0,0,0,0,0,0,0
4,15,77,90,0.0,1370,3310,7,2,6,1,2,1,4,2,4,1
5,20,78,90,0.0,2977,3345,9,1,0,0,0,0,0,0,0,0
6,16,67,90,0.0,0,1031,10,1,8,2,0,0,0,0,0,0
7,13,78,90,0.0,1711,2849,11,1,3,1,5,3,4,1,5,2
8,22,69,90,0.0,815,2083,2,3,0,0,0,0,0,0,0,0
9,69,51,90,0.0,1537,3229,2,1,0,0,0,0,0,0,0,0
10,79,57,90,0.0,1064,1724,2,2,7,1,0,0,0,0,0,0
11,74,57,90,0.0,1755,3390,12,2,12,1,10,2,0,0,0,0
12,80,51,90,0.0,2351,3390,4,1,0,0,0,0,0,0,0,0
13,57,50,90,0.0,1470,2672,2,3,0,0,0,0,0,0,0,0
14,72,57,90,0.0,445,3031,12,2,3,4,5,2,2,1,4,1
15,64,64,90,0.0,684,3190,10,1,4,5,4,6,6,3,8,2
16,63,43,90,0.0,903,3390,10,1,0,0,0,0,0,0,0,0
17,88,14,90,0.0,0,728,4,3,2,1,4,2,3,1,3,3
18,84,33,90,0.0,542,2404,2,5,5,2,12,1,10,1,5,2
19,86,32,90,0.0,0,1088,5,1,2,5,0,0,0,0,0,0
20,82,32,90,0.0,744,3390,2,1,0,0,0,0,0,0,0,0
21,74,29,90,0.0,658,1322,10,2,5,2,10,1,0,0,0,0
22,75,13,90,0.0,2009,3390,4,2,12,1,4,1,4,3,0,0
23,76,25,90,0.0,1265,1453,2,2,6,1,0,0,0,0,0,0
24,94,22,90,0.0,1757,2873,2,1,0,0,0,0,0,0,0,0
25,94,19,90,0.0,0,320,5,3,5,3,2,4,4,3,0,0
