0,40,50,0,0.0,0,3390,0,0,0,0
1,29,63,90,0.0,92,844,17,1,0,0
2,24,66,90,0.0,2515,2805,17,1,0,0
3,32,68,90,0.0,1256,2946,13,2,15,1
4,26,62,90,0.0,0,739,6,3,0,0
5,26,64,90,0.0,2806,3390,7,2,0,0
6,35,62,90,0.0,1221,2441,6,5,12,2
7,29,67,90,0.0,2316,3268,2,5,0,0
8,33,68,90,0.0,0,1921,10,5,4,3
9,57,56,90,0.0,738,1370,6,3,0,0
10,67,47,90,0.0,2235,3267,2,5,0,0
11,57,44,90,0.0,286,1978,17,2,2,7
12,75,56,90,0.0,1369,2591,12,2,9,2
13,70,53,90,0.0,1307,2327,17,2,3,4
14,72,33,90,0.0,670,850,18,1,0,0
15,78,45,90,0.0,1938,2888,3,8,2,6
16,72,36,90,0.0,2379,2771,7,5,12,1
17,70,56,90,0.0,1626,2318,6,5,2,9
18,82,35,90,0.0,1680,2292,16,2,14,2
19,86,44,90,0.0,2578,3302,2,6,5,4
20,78,26,90,0.0,1620,2734,10,5,10,3
21,86,32,90,0.0,0,1062,7,3,0,0
22,71,31,90,0.0,1749,1963,2,4,0,0
23,74,34,90,0.0,2469,3390,6,2,0,0
24,75,22,90,0.0,1479,3390,2,5,0,0
25,82,42,90,0.0,2332,3108,2,7,9,1
