0,35,35,0,0.0,0,230,0,0,0,0,0,0
1,94,89,10,0.0,87,139,15,1,0,0,0,0
2,74,8,10,0.0,157,169,15,1,0,0,0,0
3,81,82,10,0.0,127,155,6,4,13,1,5,3
4,23,24,10,0.0,26,230,15,2,4,4,0,0
5,54,85,10,0.0,94,132,6,3,10,2,0,0
6,16,51,10,0.0,0,193,2,4,0,0,0,0
7,35,81,10,0.0,42,140,7,4,4,2,14,1
8,82,78,10,0.0,68,182,7,2,0,0,0,0
9,94,12,10,0.0,47,107,2,5,3,8,0,0
10,73,4,10,0.0,0,129,2,8,10,2,5,2
11,51,11,10,0.0,50,230,6,4,13,1,2,3
12,81,0,10,0.0,20,114,6,4,8,2,6,2
13,6,25,10,0.0,137,230,7,4,6,2,8,3
14,47,38,10,0.0,59,225,2,8,3,3,14,2
15,0,75,10,0.0,0,162,7,2,0,0,0,0
16,1,68,10,0.0,0,230,6,4,3,3,6,3
17,29,48,10,0.0,85,171,2,5,13,1,0,0
18,47,43,10,0.0,103,230,2,3,0,0,0,0
19,79,84,10,0.0,126,138,6,2,0,0,0,0
20,54,91,10,0.0,90,222,2,4,0,0,0,0
21,14,34,10,0.0,118,168,2,6,7,1,0,0
22,30,28,10,0.0,139,155,2,6,10,2,0,0
23,86,10,10,0.0,107,161,2,3,0,0,0,0
24,76,77,10,0.0,69,215,2,8,3,3,14,2
25,36,30,10,0.0,0,75,2,5,11,1,0,0
