0,40,50,0,0.0,0,1236,0,0,0,0,0,0
1,32,57,90,0.0,820,1160,7,2,0,0,0,0
2,34,59,90,0.0,94,540,13,1,4,8,8,4
3,37,60,90,0.0,306,536,14,1,0,0,0,0
4,33,62,90,0.0,112,390,15,2,9,2,0,0
5,33,58,90,0.0,999,1229,2,3,0,0,0,0
6,35,63,90,0.0,349,1067,2,6,3,4,0,0
7,38,58,90,0.0,104,498,2,8,11,1,4,8
8,38,56,90,0.0,0,144,11,2,2,7,0,0
9,32,62,90,0.0,744,1104,16,2,7,2,0,0
10,26,26,90,0.0,215,261,2,6,11,2,0,0
11,31,27,90,0.0,198,446,13,2,2,8,0,0
12,29,28,90,0.0,0,568,2,6,10,2,0,0
13,29,27,90,0.0,374,682,2,4,0,0,0,0
14,30,26,90,0.0,824,1236,7,3,5,3,0,0
15,28,28,90,0.0,234,592,6,4,5,2,3,3
16,30,28,90,0.0,360,1014,2,5,6,4,0,0
17,31,23,90,0.0,566,856,16,1,0,0,0,0
18,27,24,90,0.0,129,525,16,2,12,2,0,0
19,54,58,90,0.0,163,197,16,2,4,2,0,0
20,59,54,90,0.0,162,322,7,2,0,0,0,0
21,55,54,90,0.0,445,715,16,2,4,5,0,0
22,56,59,90,0.0,0,583,12,1,0,0,0,0
23,59,59,90,0.0,0,459,2,7,3,8,3,3
24,54,56,90,0.0,897,1236,2,7,13,1,10,2
25,55,57,90,0.0,780,1064,2,8,12,1,16,2
