0,35,35,0,0.0,0,1000,0,0,0,0,0,0,0,0
1,52,57,10,0.0,0,151,12,2,2,4,2,1,0,0
2,20,63,10,0.0,424,664,2,2,0,0,0,0,0,0
3,60,5,10,0.0,823,1000,2,3,11,1,0,0,0,0
4,27,66,10,0.0,378,618,8,4,8,1,7,1,5,2
5,75,12,10,0.0,240,480,14,1,6,2,0,0,0,0
6,32,24,10,0.0,594,834,8,2,7,2,0,0,0,0
7,72,52,10,0.0,561,801,4,3,2,4,4,2,0,0
8,34,26,10,0.0,787,1000,2,5,2,7,3,7,4,3
9,53,48,10,0.0,493,733,2,2,0,0,0,0,0,0
10,52,70,10,0.0,144,384,5,2,3,5,0,0,0,0
11,98,14,10,0.0,800,1000,5,1,0,0,0,0,0,0
12,81,64,10,0.0,92,332,3,6,3,3,3,7,0,0
13,96,57,10,0.0,0,213,8,4,6,1,5,1,6,1
14,45,82,10,0.0,64,304,14,2,2,4,9,2,0,0
15,62,20,10,0.0,648,888,4,2,2,1,0,0,0,0
16,47,89,10,0.0,260,500,2,2,0,0,0,0,0,0
17,71,33,10,0.0,125,365,5,2,3,3,0,0,0,0
18,51,68,10,0.0,592,832,14,2,4,7,4,4,0,0
19,22,20,10,0.0,118,358,5,3,8,3,2,7,0,0
20,21,77,10,0.0,69,309,4,1,0,0,0,0,0,0
21,94,1,10,0.0,260,500,2,2,0,0,0,0,0,0
22,24,66,10,0.0,646,886,4,7,4,4,3,2,0,0
23,28,41,10,0.0,647,887,12,2,3,2,9,2,5,2
24,84,63,10,0.0,0,234,2,5,2,2,7,1,9,1
25,85,15,10,0.0,722,962,14,1,6,2,0,0,0,0
