0,40,50,0,0.0,0,240,0,0,0,0
1,69,12,10,0.0,127,165,2,4,0,0
2,67,10,10,0.0,128,210,10,4,10,5
3,65,12,10,0.0,45,117,3,8,4,9
4,70,9,10,0.0,123,169,17,1,0,0
5,67,8,10,0.0,87,139,2,4,0,0
6,70,11,10,0.0,0,117,18,2,4,2
7,67,11,10,0.0,88,112,7,5,9,1
8,69,13,10,0.0,66,126,16,2,4,8
9,65,8,10,0.0,133,193,11,2,4,7
10,77,18,10,0.0,36,128,7,4,9,2
11,76,21,10,0.0,113,189,2,6,2,6
12,78,22,10,0.0,47,151,11,1,0,0
13,18,29,10,0.0,83,165,2,4,0,0
14,65,3,10,0.0,98,186,2,4,0,0
15,24,75,10,0.0,0,129,2,7,18,2
16,30,70,10,0.0,122,152,2,8,0,0
17,33,91,10,0.0,50,208,2,4,0,0
18,11,54,10,0.0,150,226,16,1,0,0
19,65,95,10,0.0,73,217,16,2,3,9
20,5,2,10,0.0,37,93,2,6,5,2
21,87,43,10,0.0,90,130,6,2,0,0
22,12,41,10,0.0,66,120,7,4,3,9
23,39,67,10,0.0,32,210,16,1,0,0
24,34,95,10,0.0,13,85,15,2,17,2
25,20,79,10,0.0,80,140,18,2,9,2
