0,40,50,0,0.0,0,1236,0,0,0,0,0,0,0,0
1,73,51,90,0.0,0,873,3,7,4,3,12,1,0,0
2,76,47,90,0.0,0,533,2,5,8,1,5,1,6,1
3,73,54,90,0.0,0,294,13,2,5,1,5,2,3,4
4,74,54,90,0.0,0,233,13,2,3,5,3,3,0,0
5,73,49,90,0.0,908,918,14,1,7,2,0,0,0,0
6,77,54,90,0.0,180,196,13,2,3,7,4,3,0,0
7,75,49,90,0.0,258,962,2,4,8,4,9,1,0,0
8,75,53,90,0.0,647,1236,14,1,0,0,0,0,0,0
9,44,74,90,0.0,464,606,2,4,4,7,6,1,0,0
10,43,76,90,0.0,0,822,2,4,7,1,7,1,0,0
11,44,75,90,0.0,961,1085,4,1,0,0,0,0,0,0
12,47,71,90,0.0,57,599,2,3,13,1,0,0,0,0
13,43,71,90,0.0,769,1236,5,2,4,2,0,0,0,0
14,44,76,90,0.0,44,584,4,3,6,2,4,4,0,0
15,46,75,90,0.0,0,878,14,2,12,2,2,2,0,0
16,44,71,90,0.0,475,895,13,1,0,0,0,0,0,0
17,27,63,90,0.0,83,663,13,1,0,0,0,0,0,0
18,31,62,90,0.0,45,65,2,3,2,5,0,0,0,0
19,26,62,90,0.0,43,543,2,3,10,1,0,0,0,0
20,27,61,90,0.0,885,1161,2,2,0,0,0,0,0,0
21,30,58,90,0.0,136,226,14,2,14,2,2,5,3,3
22,28,57,90,0.0,568,1236,5,4,7,2,2,7,2,5
23,28,61,90,0.0,0,135,12,1,4,2,0,0,0,0
24,30,63,90,0.0,0,591,8,1,0,0,0,0,0,0
25,32,62,90,0.0,792,884,14,1,5,1,0,0,0,0
