0,35,35,0,0.0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,78,36,10,0.0,75,111,4,2,11,1,2,3,6,3,3,6,12,2,2,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,88,80,10,0.0,123,129,2,1,3,2,3,2,4,3,4,3,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,78,67,10,0.0,98,132,4,2,4,2,8,2,6,3,2,3,4,2,2,5,4,3,2,1,3,2,2,2,0,0,0,0,0,0,0,0
4,41,51,10,0.0,0,58,4,1,2,1,10,2,3,1,7,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,62,91,10,0.0,96,150,2,4,2,1,5,1,7,1,3,3,12,1,4,2,6,1,5,1,6,1,2,3,0,0,0,0,0,0,0,0
6,36,52,10,0.0,0,73,12,1,4,6,5,2,4,3,5,1,4,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,57,26,10,0.0,62,122,9,1,9,2,3,2,2,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,38,63,10,0.0,107,141,2,3,5,1,2,2,3,4,3,2,4,3,3,2,7,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0
9,75,9,10,0.0,72,134,2,3,7,1,2,2,7,2,2,1,2,4,3,3,6,3,5,1,2,4,0,0,0,0,0,0,0,0,0,0
10,76,34,10,0.0,125,229,5,3,7,2,6,1,4,5,6,3,3,3,5,2,3,2,6,1,4,2,11,2,0,0,0,0,0,0,0,0
11,49,40,10,0.0,64,80,4,3,4,1,3,6,5,1,5,1,2,3,4,6,4,6,6,3,3,4,6,1,2,2,4,3,5,2,0,0
12,50,68,10,0.0,20,148,2,1,3,5,2,2,3,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,60,85,10,0.0,93,171,4,1,4,6,11,2,4,4,3,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,24,93,10,0.0,61,125,2,3,4,5,3,2,7,2,3,3,5,2,2,6,4,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0
15,19,68,10,0.0,1,103,5,2,5,1,6,1,3,3,3,2,5,1,4,3,3,1,3,1,3,5,0,0,0,0,0,0,0,0,0,0
16,72,97,10,0.0,106,118,4,3,11,1,12,1,4,3,4,4,8,2,11,2,4,2,2,1,2,3,3,2,12,1,4,3,4,3,0,0
17,91,95,10,0.0,71,111,8,1,4,5,2,5,3,6,3,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,13,53,10,0.0,74,146,4,3,2,2,10,1,2,6,5,2,3,6,3,2,2,3,4,1,2,2,0,0,0,0,0,0,0,0,0,0
19,59,15,10,0.0,39,49,2,5,6,1,6,2,3,6,10,2,6,1,6,2,4,3,2,1,5,2,0,0,0,0,0,0,0,0,0,0
20,10,18,10,0.0,68,92,5,3,4,2,10,2,2,3,10,1,2,2,6,1,4,2,2,3,3,3,3,1,2,3,2,3,0,0,0,0
21,67,68,10,0.0,71,179,2,1,4,2,3,2,4,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,87,79,10,0.0,124,160,2,4,4,4,9,1,4,1,4,5,4,2,3,1,2,3,6,3,4,4,2,5,2,3,0,0,0,0,0,0
23,6,70,10,0.0,104,172,5,3,4,4,9,2,11,1,4,5,4,3,2,3,9,2,5,3,5,3,3,4,0,0,0,0,0,0,0,0
24,13,99,10,0.0,35,143,2,1,5,2,2,4,2,4,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,20,97,10,0.0,68,188,6,3,3,1,8,1,2,1,4,1,3,1,4,2,4,2,6,2,3,2,3,2,6,2,5,1,6,2,0,0
