0,40,50,0,0,0,3390,0,0,0,0,0,0,0,0,0,0
1,52,75,90,10,213,568,14,2,5,1,5,4,0,0,0,0
2,45,70,90,30,22,563,2,2,0,0,0,0,0,0,0,0
3,62,69,90,10,1030,1463,2,5,3,1,9,1,3,3,0,0
4,60,66,90,10,1154,1527,13,2,7,2,4,3,5,2,0,0
5,42,65,90,10,15,402,14,2,5,2,5,1,3,2,0,0
6,16,42,90,20,331,822,4,6,6,1,6,3,4,4,0,0
7,58,70,90,20,965,1340,2,3,5,1,0,0,0,0,0,0
8,34,60,90,20,2653,3280,14,1,3,3,0,0,0,0,0,0
9,28,70,90,10,2385,2976,13,2,7,2,2,5,0,0,0,0
10,35,66,90,10,2628,3113,2,6,0,0,0,0,0,0,0,0
11,35,69,90,10,2603,2952,4,2,7,4,0,0,0,0,0,0
12,25,85,90,20,1985,2412,4,1,0,0,0,0,0,0,0,0
13,22,75,90,30,2310,2659,2,3,5,1,0,0,0,0,0,0
14,22,85,90,10,1846,2365,8,1,4,2,0,0,0,0,0,0
15,20,80,90,40,2077,2514,7,2,2,6,2,3,0,0,0,0
16,20,85,90,40,1763,2264,5,1,0,0,0,0,0,0,0,0
17,18,75,90,20,2143,2638,13,2,6,1,7,2,0,0,0,0
18,15,75,90,20,1560,2083,13,2,8,3,3,2,6,1,0,0
19,15,80,90,10,1689,2144,13,2,7,3,2,3,2,5,0,0
20,30,50,90,10,10,645,14,2,3,4,3,6,12,2,0,0
21,30,56,90,20,2675,3288,13,2,3,2,3,5,0,0,0,0
22,28,52,90,20,12,505,4,2,11,2,0,0,0,0,0,0
23,14,66,90,10,1519,1926,5,4,2,4,8,2,8,2,0,0
24,25,50,90,10,23,368,12,2,2,6,13,2,3,5,0,0
25,22,66,90,40,2380,2787,4,2,8,3,0,0,0,0,0,0
